Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0402_1005Metric,144.907,-75.946,0,top
C2,1uF,C_0402_1005Metric,144.145,-70.104,0,top
C3,1uF,C_0402_1005Metric,144.1196,-65.532,180,top
C4,2.2uF,C_0402_1005Metric,137.16,-66.3448,0,top
C5,0.1uF,C_0402_1005Metric,135.128,-66.3448,180,top
C6,15pF,C_0402_1005Metric,135.001,-82.804,-90,top
C7,15pF,C_0402_1005Metric,137.922,-85.979,180,top
C8,0.1uF,C_0402_1005Metric,140.589,-85.471,-90,top
C9,0.1uF,C_0402_1005Metric,139.065,-74.041,90,top
C10,2.2uF,C_0402_1005Metric,141.605,-74.041,90,top
C11,0.1uF,C_0402_1005Metric,134.366,-80.772,180,top
C12,0.1uF,C_0402_1005Metric,139.573,-85.471,-90,top
C13,0.1uF,C_0402_1005Metric,144.907,-76.962,0,top
C14,0.1uF,C_0402_1005Metric,145.034,-80.645,0,top
C15,0.1uF,C_0402_1005Metric,142.621,-74.041,90,top
C16,0.1uF,C_0402_1005Metric,135.001,-76.454,90,top
C17,2.2uF,C_0402_1005Metric,140.081,-74.041,90,top
D1,B5817,D_SOD-323,140.208,-69.088,180,top
F1,"500mA, 6V",Fuse_0805_2012Metric,140.208,-67.056,180,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_TYPE-C-31-M-12,139.7,-59.69,180,top
J4,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,134.625,-88.9,90,top
LD1,RED,LED_0603_1608Metric,132.842,-58.674,180,top
LD2,BLUE,LED_0603_1608Metric,146.558,-58.674,0,top
R1,200,R_0402_1005Metric,142.621,-72.136,-90,top
R2,5.1k,R_0402_1005Metric,145.542,-64.008,-90,top
R3,5.1k,R_0402_1005Metric,133.858,-64.008,90,top
R4,27,R_0402_1005Metric,140.081,-72.136,-90,top
R5,330,R_0402_1005Metric,133.858,-60.452,90,top
R6,27,R_0402_1005Metric,141.097,-72.136,-90,top
R7,10k,R_0402_1005Metric,139.065,-72.136,-90,top
R8,1k,R_0402_1005Metric,138.049,-72.136,-90,top
R9,4.7k,R_0402_1005Metric,143.637,-85.598,0,top
R10,4.7k,R_0402_1005Metric,143.637,-84.582,0,top
R11,1k,R_0402_1005Metric,137.922,-84.963,0,top
R12,10k,R_0402_1005Metric,143.637,-86.614,180,top
R13,330,R_0402_1005Metric,145.542,-60.452,90,top
SW1,BOOT,SW_SPST_B3U-1000P,134.62,-73.025,90,top
SW2,RESET,SW_SPST_B3U-1000P,144.78,-73.025,90,top
U1,RT9013-33GB,SOT-23-5,144.145,-67.818,0,top
U2,W25Q16JVUXIQ,USON-8 (2x3mm),135.89,-68.3252,-90,top
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,139.7,-79.629,0,top
Y1,12MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,135.382,-85.598,90,top
